playfield,id,name,type,faction,blocks,devices,pos,rot,core,powered,docked,touched_time,touched_ticks,touched_name,touched_id,saved_time,saved_ticks,add_info
Tsunoc,7718,'-Slip Joint- ?',SV,[Private 1136]          ,440,101,3630.646 65.49188 1039.044,4.037282 210.7159 2.576983,True,False,False,4/13/2020 2:47:27 PM,1055595,'dmytro.cheva',76561198412322587,4/13/2020 2:47:27 PM,1055595,
Tsunoc,7718,'-Slip Joint- С',SV,[Private 1136]          ,439,101,-851.1558 92.16881 1203.909,6.55456 179.4402 0.1100156,True,True,False,4/13/2020 3:16:20 PM,1087652,'dmytro.cheva',76561198412322587,4/13/2020 3:16:21 PM,1087653,
Tsunoc,7718,'-Slip Joint- С',SV,[Private 1136]          ,439,101,-5367.871 93.40367 -2574.097,321.3409 233.2369 351.4666,True,True,False,4/13/2020 3:39:45 PM,1115688,'dmytro.cheva',76561198412322587,4/13/2020 3:39:45 PM,1115689,
Tsunoc,7718,'-Slip Joint- С',SV,[Private 1136]          ,439,101,-5367.686 93.73845 -2573.885,321.178 231.7331 352.3934,True,True,False,4/13/2020 3:39:59 PM,1115897,'dmytro.cheva',76561198412322587,4/13/2020 3:39:59 PM,1115898,
Tsunoc,7718,'-Slip Joint- С',SV,[Private 1136]          ,439,101,-5702.711 55.00277 -2906.218,-0.00110947 0.02095567 0.005035561,True,False,True,4/13/2020 5:07:09 PM,1213850,'dmytro.cheva',76561198412322587,4/13/2020 5:08:24 PM,1215335,
Tsunoc,7718,'-Slip Joint- С',SV,[Private 1136]          ,439,101,5930.657 90.66391 -2202.385,359.9278 113.4578 6.610896,True,False,False,4/13/2020 6:53:13 PM,1326027,'dmytro.cheva',76561198412322587,4/13/2020 6:53:13 PM,1326027,
Tsunoc,7718,'-Slip Joint- С',SV,[Private 1136]          ,439,101,5930.657 90.66391 -2202.385,359.9278 113.4578 6.610896,True,False,False,4/13/2020 6:59:11 PM,1333084,'dmytro.cheva',76561198412322587,4/13/2020 6:59:11 PM,1333084,
Tsunoc,7718,'-Slip Joint- С',SV,[Private 1136]          ,439,101,5930.657 90.66391 -2202.385,359.9285 113.4582 6.616567,True,False,False,4/13/2020 7:20:24 PM,1349467,'dmytro.cheva',76561198412322587,4/13/2020 7:20:24 PM,1349467,
Tsunoc,7718,'-Slip Joint- С',SV,[Private 1136]          ,439,101,5930.657 90.66391 -2202.385,359.9285 113.4582 6.616567,True,False,False,4/13/2020 7:21:57 PM,1351219,'dmytro.cheva',76561198412322587,4/13/2020 7:21:57 PM,1351220,
Tsunoc,7718,'-Slip Joint- С',SV,[Private 1136]          ,439,101,5957.409 100.6452 -2159.072,10.58984 179.4515 359.7382,True,True,True,4/14/2020 1:24:18 AM,1470714,'dmytro.cheva',76561198412322587,4/14/2020 1:24:57 AM,1471496,
Tsunoc,7718,'-Slip Joint- С',SV,[Private 1136]          ,439,101,5957.409 100.6452 -2159.072,10.58984 179.4515 359.7382,True,True,True,4/14/2020 1:24:18 AM,1470714,'dmytro.cheva',76561198412322587,4/14/2020 1:25:59 AM,1472622,
Tsunoc,7718,'-Slip Joint- С',SV,[Private 1136]          ,450,98,5944.513 88.00069 -2136.279,0.003436629 87.77419 -0.0008516662,True,False,True,4/14/2020 8:21:10 AM,1554169,'dmytro.cheva',76561198412322587,4/14/2020 8:32:56 AM,1568299,
Tsunoc,7718,'-Slip Joint- С',SV,[Private 1136]          ,450,98,5944.513 88.00069 -2136.279,0.003436629 87.77419 -0.0008516662,True,False,True,4/14/2020 9:26:40 AM,1625314,'dmytro.cheva',76561198412322587,4/14/2020 9:32:21 AM,1632142,
Tsunoc,7718,'-Slip Joint- С',SV,[Private 1136]          ,450,98,5944.513 88.00069 -2136.279,0.003436629 87.77419 -0.0008516662,True,False,True,4/14/2020 9:26:40 AM,1625314,'dmytro.cheva',76561198412322587,4/14/2020 9:35:19 AM,1635637,
Tsunoc,7718,'-Slip Joint- С',SV,[Private 1136]          ,450,98,5944.513 88.00069 -2136.279,0.003436629 87.77419 -0.0008516662,True,False,True,4/14/2020 9:26:40 AM,1625314,'dmytro.cheva',76561198412322587,4/14/2020 9:53:12 AM,1656929,
Tsunoc,7718,'-Slip Joint- С',SV,[Private 1136]          ,450,98,5944.513 88.00069 -2136.279,0.003436629 87.77419 -0.0008516662,True,False,True,4/14/2020 9:26:40 AM,1625314,'dmytro.cheva',76561198412322587,4/14/2020 9:53:18 AM,1656980,
Tsunoc,7718,'-Slip Joint- С',SV,[Private 1136]          ,450,98,5944.513 88.00069 -2136.279,0.003436629 87.77419 -0.0008516662,True,False,True,4/14/2020 9:26:40 AM,1625314,'dmytro.cheva',76561198412322587,4/14/2020 10:22:42 AM,1705753,
Tsunoc,7718,'-Slip Joint- С',SV,[Private 1136]          ,450,98,5955.338 88.00337 -2134.675,0.0009118241 267.7905 0.002219355,True,False,False,4/14/2020 10:32:13 AM,1715642,'dmytro.cheva',76561198412322587,4/14/2020 10:32:38 AM,1716136,
